rule_id,feature_pattern,related_label,category,explanation
RULE_SMS_ABUSE,SEND_SMS READ_SMS RECEIVE_SMS WRITE_SMS SmsManager INTERNET READ_PHONE_STATE,S,SMS abuse,SMS send/read/receive APIs together with network or phone-state access can indicate SMS abuse or premium-message behavior.
RULE_DEVICE_IDENTIFIER_COLLECTION,READ_PHONE_STATE getDeviceId getSubscriberId getSimSerialNumber getLine1Number GET_ACCOUNTS,S,Device identifiers,Telephony and account identifiers provide device or subscriber identity context when combined with network access.
RULE_BOOT_PERSISTENCE,BOOT_COMPLETED RECEIVE_BOOT_COMPLETED WAKE_LOCK SYSTEM_ALERT_WINDOW background service,S,Persistence,Boot receivers and wake locks can support automatic background execution after restart.
RULE_DYNAMIC_CODE_LOADING,DexClassLoader PathClassLoader ClassLoader System.loadLibrary Runtime.load Runtime.loadLibrary reflection getMethods,S,Dynamic loading,Dynamic loading and reflection can change runtime behavior beyond statically visible code paths.
RULE_NETWORK_EXFILTRATION_CONTEXT,INTERNET ACCESS_NETWORK_STATE HttpGet HttpPost DefaultHttpClient URLDecoder,S,Network context,"Network APIs provide communication context and become more meaningful with identifier, contact, SMS, or location features."
RULE_LOCATION_TRACKING,ACCESS_FINE_LOCATION ACCESS_COARSE_LOCATION GPS INTERNET background,S,Location,Location features with network and background execution provide context for tracking or reporting location data.
RULE_PACKAGE_INSTALL_ABUSE,INSTALL_PACKAGES DELETE_PACKAGES PackageInstaller getInstalledPackages,S,Package install/remove,Install-package and delete-package capabilities together suggest payload-dropper or self-update behavior.
RULE_PRIVATE_API_REFLECTION,Class.forName getMethod getDeclaredMethod setAccessible reflection invoke,S,Reflection on private API,Reflective access to hidden or private API surface is common in apps that need to bypass static analysis.
RULE_SYSTEM_COMMAND_EXEC,Runtime.exec /system/bin /system/app mount remount chmod chown,S,System command execution,Direct execution of system commands and shell utilities expands an app's reach beyond the standard Android API surface.
RULE_SCREEN_OVERLAY_ABUSE,SYSTEM_ALERT_WINDOW TYPE_SYSTEM_ALERT_WINDOW WindowManager overlay,S,Screen overlay,System-alert overlays can be combined with input redirection to support phishing or tap-jacking attacks.
RULE_APP_ENTRY,android.intent.action.MAIN android.intent.category.LAUNCHER,B,App entry,MAIN and LAUNCHER describe ordinary app entry points and are usually background context rather than evidence by themselves.
RULE_STANDARD_UI_INTENT,android.intent.action.VIEW android.intent.action.SEND android.intent.action.PICK,B,Standard UI intent,Standard UI-triggered intents describe ordinary user-initiated navigation between apps and components.
RULE_STANDARD_NETWORK_USAGE,INTERNET ACCESS_NETWORK_STATE HttpURLConnection URL,B,Basic network usage,Internet permission combined with network-state checking is a baseline pattern shared by most connected benign apps.
RULE_STANDARD_LIFECYCLE_BROADCASTS,android.intent.action.PACKAGE_ADDED android.intent.action.SCREEN_ON android.intent.action.USER_PRESENT,B,Lifecycle broadcasts,Listening to standard lifecycle broadcasts is a normal pattern for utility and accessory apps.
RULE_STANDARD_RESOURCE_ACCESS,VIBRATE READ_SETTINGS WRITE_SETTINGS android.intent.action.SET_WALLPAPER,B,Standard resources,Reading or writing standard system settings and resources is common in benign system utilities.
RULE_STANDARD_SERVICE_BIND,bindService onServiceConnected ServiceConnection,B,Service bind,Service binding via the standard Android lifecycle is part of normal component composition.
RULE_CRYPTO_USAGE,Ljavax.crypto.Cipher SecretKeySpec MessageDigest Base64,context-dependent,Cryptography,Cryptographic APIs are common in benign and malware apps; interpret them with surrounding data access and network features.
RULE_STANDARD_IPC,Binder IBinder bindService onServiceConnected ServiceConnection attachInterface,context-dependent,Android IPC,Binder and service binding are standard Android IPC mechanisms and should be interpreted with the broader feature set.
RULE_FILE_STORAGE_ACCESS,READ_EXTERNAL_STORAGE WRITE_EXTERNAL_STORAGE file path sdcard,context-dependent,Storage,External storage access can be routine app behavior or part of data handling depending on surrounding permissions and APIs.
RULE_REFLECTION_GENERIC,Class.getClass getMethod getMethods getFields,context-dependent,Generic reflection,"Reflection appears in plugins, ORM and framework code as well as obfuscated apps; combine with surrounding APIs."
RULE_INTENT_FILTER_RECEIVER,registerReceiver onReceive BroadcastReceiver IntentFilter,context-dependent,Broadcast receiver,Broadcast receivers are a standard Android pattern; their meaning depends on which events are observed.
RULE_NETWORK_HTTP_CLIENT,HttpClient DefaultHttpClient HttpGet HttpPost URL,context-dependent,Network HTTP client,HTTP client classes appear in both benign network-enabled apps and exfiltration paths; treat with other context features.
RULE_BACKGROUND_SERVICE,startService Service onStartCommand FOREGROUND_SERVICE,context-dependent,Background service,Background and foreground services are widely used for both legitimate sync work and silent execution.
RULE_CONTENT_PROVIDER_ACCESS,ContentResolver query insert delete READ_CONTACTS,context-dependent,Content provider,Content-provider access can serve normal contact / media features or sensitive data harvesting depending on what is queried.
